GPUDIRECT TESTS:\n\n
Size 1
STD: 7.282629e-05
LOC: 6.203554e-08
LANE: 2.689229e-08
Size 2
STD: 7.262391e-05
LOC: 6.118016e-08
LANE: 2.680557e-08
Size 4
STD: 7.171299e-05
LOC: 1.363962e-04
LANE: 9.576482e-05
Size 8
STD: 7.244830e-05
LOC: 1.356639e-04
LANE: 9.536005e-05
Size 16
STD: 7.266499e-05
LOC: 1.336027e-04
LANE: 9.435599e-05
Size 32
STD: 7.236093e-05
LOC: 1.331696e-04
LANE: 9.478622e-05
Size 64
STD: 7.229545e-05
LOC: 1.342328e-04
LANE: 9.525153e-05
Size 128
STD: 7.430099e-05
LOC: 1.358296e-04
LANE: 9.721195e-05
Size 256
STD: 1.074521e-04
LOC: 1.311596e-04
LANE: 9.098879e-05
Size 512
STD: 1.121225e-04
LOC: 1.497544e-04
LANE: 9.326308e-05
Size 1024
STD: 1.985434e-04
LOC: 1.659335e-04
LANE: 1.278137e-04
Size 2048
STD: 2.051436e-04
LOC: 1.705003e-04
LANE: 1.309530e-04
Size 4096
STD: 2.121987e-04
LOC: 2.137460e-04
LANE: 2.058662e-04
Size 8192
STD: 2.155196e-04
LOC: 2.225039e-04
LANE: 2.137484e-04
Size 16384
STD: 2.381926e-04
LOC: 2.355429e-04
LANE: 2.195871e-04
Size 32768
STD: 6.924135e-03
LOC: 2.550492e-04
LANE: 2.248821e-04
Size 65536
STD: 7.330388e-03
LOC: 3.213763e-04
LANE: 2.590903e-04
Size 131072
STD: 7.330947e-03
LOC: 7.587409e-03
LANE: 7.192866e-03
Size 262144
STD: 6.996698e-03
LOC: 7.247419e-03
LANE: 6.879792e-03
Size 524288
STD: 6.937257e-03
LOC: 7.347021e-03
LANE: 6.894991e-03
Size 1048576
STD: 6.942694e-03
LOC: 7.591981e-03
LANE: 7.321422e-03
Size 2097152
STD: 7.317941e-03
LOC: 2.021241e-02
LANE: 7.164864e-03
Size 4194304
STD: 1.462184e-02
LOC: 2.906329e-02
LANE: 7.034574e-03
Size 8388608
STD: 2.833074e-02
LOC: 4.876501e-02
LANE: 7.189571e-03
Size 16777216
STD: 5.640517e-02
LOC: 8.928540e-02
LANE: 1.416874e-02
Size 33554432
STD: 1.132735e-01
LOC: 1.808887e-01
LANE: 2.846049e-02
Size 67108864
STD: 2.256646e-01
LOC: 3.632098e-01
LANE: 5.873391e-02
Size 134217728
STD: 4.741349e-01
LOC: 7.116716e-01
LANE: 1.126228e-01
Size 268435456
STD: 9.337475e-01
LOC: 1.425642e+00
LANE: 2.237891e-01
Size 536870912
STD: 1.815782e+00
LOC: 8.907580e+00
LANE: 4.514453e-01


MPICH Slingshot Network Summary: 0 network timeouts

