GPUDIRECT TESTS:\n\n
Size 1
STD: 1.085331e-04
LOC: 5.889883e-08
LANE: 2.357878e-08
Size 2
STD: 1.069519e-04
LOC: 5.788719e-08
LANE: 2.364779e-08
Size 4
STD: 1.060934e-04
LOC: 1.777557e-04
LANE: 1.304280e-04
Size 8
STD: 1.048948e-04
LOC: 1.728405e-04
LANE: 1.292080e-04
Size 16
STD: 1.053391e-04
LOC: 1.732858e-04
LANE: 1.288326e-04
Size 32
STD: 1.065533e-04
LOC: 1.724540e-04
LANE: 1.288901e-04
Size 64
STD: 1.073366e-04
LOC: 1.763021e-04
LANE: 1.325154e-04
Size 128
STD: 1.098804e-04
LOC: 1.786620e-04
LANE: 1.332342e-04
Size 256
STD: 1.451287e-04
LOC: 1.699102e-04
LANE: 1.234707e-04
Size 512
STD: 1.535702e-04
LOC: 1.910813e-04
LANE: 1.257965e-04
Size 1024
STD: 2.702718e-04
LOC: 2.120820e-04
LANE: 1.675350e-04
Size 2048
STD: 2.750634e-04
LOC: 2.153606e-04
LANE: 1.711377e-04
Size 4096
STD: 2.801093e-04
LOC: 2.908031e-04
LANE: 2.761985e-04
Size 8192
STD: 2.840249e-04
LOC: 3.001182e-04
LANE: 2.820699e-04
Size 16384
STD: 3.053344e-04
LOC: 3.130773e-04
LANE: 2.909066e-04
Size 32768
STD: 1.379880e-02
LOC: 3.336686e-04
LANE: 2.989519e-04
Size 65536
STD: 1.382495e-02
LOC: 3.969018e-04
LANE: 3.360704e-04
Size 131072
STD: 1.378119e-02
LOC: 1.396510e-02
LANE: 1.369671e-02
Size 262144
STD: 1.374778e-02
LOC: 1.391103e-02
LANE: 1.369416e-02
Size 524288
STD: 1.375922e-02
LOC: 1.438679e-02
LANE: 1.419718e-02
Size 1048576
STD: 1.431889e-02
LOC: 1.475722e-02
LANE: 1.423132e-02
Size 2097152
STD: 1.441176e-02
LOC: 2.923515e-02
LANE: 1.396711e-02
Size 4194304
STD: 2.789459e-02
LOC: 3.947991e-02
LANE: 1.386766e-02
Size 8388608
STD: 5.626243e-02
LOC: 5.734553e-02
LANE: 1.423612e-02
Size 16777216
STD: 1.121311e-01
LOC: 1.068295e-01
LANE: 2.823648e-02
Size 33554432
STD: 2.242222e-01
LOC: 2.125496e-01
LANE: 5.584247e-02
Size 67108864
STD: 4.459985e-01
LOC: 4.507298e-01
LANE: 1.120653e-01
Size 134217728
STD: 8.920971e-01
LOC: 8.624943e-01
LANE: 2.318133e-01
Size 268435456
STD: 1.795016e+00
LOC: 1.624026e+00
LANE: 4.446579e-01
Size 536870912
STD: 3.711783e+00
LOC: 9.495434e+00
LANE: 9.198155e-01


MPICH Slingshot Network Summary: 0 network timeouts

