GPUDIRECT TESTS:\n\n
Size 1
STD: 5.551567e-05
LOC: 6.117372e-08
LANE: 2.657670e-08
Size 2
STD: 5.494377e-05
LOC: 6.169526e-08
LANE: 2.667281e-08
Size 4
STD: 5.482948e-05
LOC: 1.156380e-04
LANE: 7.654705e-05
Size 8
STD: 5.440595e-05
LOC: 1.142159e-04
LANE: 7.597216e-05
Size 16
STD: 5.458424e-05
LOC: 1.139369e-04
LANE: 7.583875e-05
Size 32
STD: 5.505531e-05
LOC: 1.135624e-04
LANE: 7.608575e-05
Size 64
STD: 5.498104e-05
LOC: 1.145196e-04
LANE: 7.723836e-05
Size 128
STD: 5.733488e-05
LOC: 1.180302e-04
LANE: 7.805164e-05
Size 256
STD: 8.492988e-05
LOC: 1.143023e-04
LANE: 7.119599e-05
Size 512
STD: 8.976014e-05
LOC: 1.301690e-04
LANE: 7.213148e-05
Size 1024
STD: 1.607573e-04
LOC: 1.476173e-04
LANE: 1.067771e-04
Size 2048
STD: 1.706637e-04
LOC: 1.538476e-04
LANE: 1.089944e-04
Size 4096
STD: 1.751852e-04
LOC: 1.787029e-04
LANE: 1.682709e-04
Size 8192
STD: 1.810444e-04
LOC: 1.846245e-04
LANE: 1.734813e-04
Size 16384
STD: 2.032004e-04
LOC: 1.962640e-04
LANE: 1.778608e-04
Size 32768
STD: 3.562058e-03
LOC: 2.140697e-04
LANE: 1.878125e-04
Size 65536
STD: 3.552471e-03
LOC: 2.787541e-04
LANE: 2.161216e-04
Size 131072
STD: 3.552350e-03
LOC: 3.689750e-03
LANE: 3.537862e-03
Size 262144
STD: 3.565553e-03
LOC: 3.770365e-03
LANE: 3.578244e-03
Size 524288
STD: 3.557401e-03
LOC: 3.913900e-03
LANE: 3.669977e-03
Size 1048576
STD: 3.736411e-03
LOC: 4.185699e-03
LANE: 3.681500e-03
Size 2097152
STD: 3.863897e-03
LOC: 1.539318e-02
LANE: 3.803355e-03
Size 4194304
STD: 7.791084e-03
LOC: 2.485235e-02
LANE: 3.831808e-03
Size 8388608
STD: 1.560465e-02
LOC: 4.231866e-02
LANE: 3.881469e-03
Size 16777216
STD: 3.005397e-02
LOC: 8.229019e-02
LANE: 7.402892e-03
Size 33554432
STD: 5.920569e-02
LOC: 1.683180e-01
LANE: 1.455129e-02
Size 67108864
STD: 1.181235e-01
LOC: 3.245263e-01
LANE: 2.910106e-02
Size 134217728
STD: 2.361145e-01
LOC: 6.531393e-01
LANE: 5.809198e-02
Size 268435456
STD: 4.879589e-01
LOC: 1.297270e+00
LANE: 1.211443e-01
Size 536870912
STD: 9.679285e-01
LOC: 9.003804e+00
LANE: 2.456175e-01


MPICH Slingshot Network Summary: 0 network timeouts

